日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/01,京都府,大学,立命館大学,一般選抜（試験地）,立命館大学（衣笠キャンパス）,京都市北区等持院北町56-1,
2026/02/01,京都府,大学,京都先端科学大学,公募推薦A・B、一般A・B・C,京都太秦キャンパス,京都府京都市右京区山ノ内五反田町18,
2026/02/01,京都府,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,TKPガーデンシティ京都タワーホテル,京都府京都市下京区烏丸通七条下ル東塩小路町721-1 6F・9F,
2026/02/01,京都府,大学,甲南大学,一般選抜（前期）,TKPガーデンシティ京都タワーホテル（京都タワーホテル2階）,京都府京都市下京区烏丸通七条下ル東塩小路町721-1 京都タワーホテル2階,
2026/02/01,京都府,大学,中京学院大学,一般選抜 前期（併願）,京都会場,京都府京都市下京区西油小路町27番地,
2026/02/01,京都府,大学,中京学院大学,一般前期・推薦（地方）,京都会場,京都府京都市下京区西油小路町27番地,
2026/02/01,京都府,大学,関西大学,,京都リサーチパーク,京都府京都市下京区中堂寺南町134,
2026/02/01,京都府,大学,大阪電気通信大学,一般前期A/B・推薦,京都会場,京都府京都市下京区油小路通塩小路下る 西油小路町27,
2026/02/01,京都府,大学,関西福祉科学大学,一般選抜A,学校法人YIC学院 YIC京都,京都府京都市下京区油小路通塩小路下る西油小路町27番地,
2026/02/01,京都府,大学,大阪経済法科大学,一般前期B,TKP京都四条カンファレンスセンター,京都府京都市下京区立売中之町99 四条SETビル 6階,
2026/02/01,京都府,大学,大阪産業大学,一般前期A/B/C・中期・後期,長浜バイオ大学 京都CAMPUS河原町学舎,京都府京都市上京区河原町通広小路上ル,
2026/02/01,京都府,大学,花園大学,一般選抜A/B/C/D日程,花園大学（本学キャンパス）,京都府京都市中京区西ノ京壺ノ内町8-1,
2026/02/01,京都府,大学,関西大学,,京都府民総合交流プラザ,京都府京都市南区東九条下殿田町70,
2026/02/01,京都府,大学,金沢工業大学,一般試験A,京都JAビル,京都府京都市南区東九条西山王町1,
2026/02/01,熊本県,大学,関西学院大学,全学部日程のみ,北九州予備校 熊本校,熊本県熊本市西区春日2丁目3-26,
2026/02/01,熊本県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,熊本会場（TKPカンファレンスセンター）,熊本県熊本市中央区花畑町4-7,
2026/02/01,熊本県,大学,長崎外国語大学,一般選抜A/スカラシップ,朝日新聞第一生命ビル 9F（TKP熊本カンファレンスセンター）,熊本県熊本市中央区花畑町4-7,
2026/02/01,熊本県,大学,九州医療科学大学,総特待・推A/B・一般前/後,TKP熊本カンファレンスセンター,熊本県熊本市中央区花畑町4-7 朝日第一生命ビル9階,
2026/02/01,熊本県,大学,九州産業大学,一般前期（共テ併用含む）,くまもと県民交流館パレア,熊本県熊本市中央区手取本町8-9,
2026/02/01,熊本県,大学,西九州大学,一般選抜Ⅰ期 地方会場,熊本会場,熊本県熊本市中央区城東町5-16,
2026/02/01,熊本県,大学,帝京大学,奨学特待生・一般選抜Ⅰ期,熊本試験場（TKPガーデンシティネストホテル熊本）,熊本県熊本市中央区辛島町4-39,
2026/02/01,熊本県,大学,中村学園大学,一般選抜A方式・短大一般,熊本会場,熊本県熊本市中央区辛島町4-39 ネストホテル熊本 2階,
2026/02/01,熊本県,大学,久留米大学,前期一般選抜,熊本会場,熊本県熊本市中央区水前寺1丁目33-18 水前寺共済会館グレーシア,
2026/02/01,熊本県,大学,立命館アジア太平洋大学,スタンダード3,熊本城ホール,熊本市中央区桜町3-40,
2026/02/01,熊本県,大学,立命館大学,一般選抜（試験地）,熊本城ホール,熊本市中央区桜町3-40,
2026/02/01,広島県,大学,関西大学,,TKPガーデンシティPREMIUM広島駅,広島県 広島市南区大須賀町13-9 ベルビュオフィス広島,
2026/02/01,広島県,大学,広島修道大学,一般選抜前期A/B/C・後期,広島修道大学（本学）,広島県広島市安佐南区大塚東1-1-1,
2026/02/01,広島県,大学,広島文教大学,一般S/A/B・後期、総合型・推薦等,広島会場（本学）,広島県広島市安佐北区可部東1-2-1,
2026/02/01,広島県,大学,広島工業大学,一般選抜A・B・C日程,五日市キャンパス（本学会場）,広島県広島市佐伯区三宅2-1-1,
2026/02/01,広島県,国家試験,広島工業大学専門学校,歯科医師,,広島県広島市西区福島町2-1-1,
2026/02/01,広島県,大学,大阪経済法科大学,一般前期A/B,TKPガーデンシティ広島,広島県広島市中央区中町8-18 広島クリスタルプラザ2〜3階,
2026/02/01,広島県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,広島県立総合体育館 武道場,広島県広島市中区基町4-1,
2026/02/01,広島県,大学,四国大学,一般入試Ⅰ期,RCC文化センター,広島県広島市中区橋本町5-11,
2026/02/01,広島県,大学,金沢工業大学,一般試験A,RCC文化センター,広島県広島市中区橋本町5-11,
2026/02/01,広島県,大学,川崎医療福祉大学,推後A・一般前期A,広島会場（TKP広島本通駅前カンファレンスセンター）,広島県広島市中区紙屋町2-2-12 信和広島ビル,
2026/02/01,広島県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C・中期,広島会場（TKP広島本通駅前カンファレンスセンター）,広島県広島市中区紙屋町2丁目2-12,
2026/02/01,広島県,大学,九州医療科学大学,総特待・推A/B・一般前/中,TKP広島本通駅前 カンファレンスセンター,広島県広島市中区紙屋町2丁目2-12 信和広島ビル,
2026/02/01,広島県,大学,九州産業大学,一般前期（共テ併用含む）,広島国際会議場,広島県広島市中区中島町1-5,
2026/02/01,広島県,大学,専修大学,,広島国際会議場,広島県広島市中区中島町1-5,
2026/02/01,広島県,大学,愛知大学,一般選抜（前期・各方式）,広島国際会議場,広島県広島市中区中島町1-5,
2026/02/01,広島県,大学,京都先端科学大学,公募推薦A、一般A,広島YMCA国際文化センター,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,就実大学,一般選抜A・B日程,広島会場（広島YMCA国債文化センター）,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,甲南大学,一般選抜（前期）,広島YMCA国際文化センター,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,福山平成大学,一般選抜A・B・後期,広島YMCA国際文化センター,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,美作大学,推薦11月・ 一般前期,広島会場（広島YMCA国際文化センター 3号館）,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,阪南大学,一般前期,広島YMCA 国際文化センター2号館,広島県広島市中区八丁堀7-11,
2026/02/01,広島県,大学,大阪産業大学,一般前期A/B/C,カンファレンス21,広島県広島市中区幟町14-11 ウイング八丁堀ビル4F,
2026/02/01,広島県,大学,東京都市大学,一般選抜 前期・中期,広島会場（チサンホテル広島）,広島県広島市中区幟町14-7,
2026/02/01,広島県,大学,比治山大学,一般選抜A・B・C日程,本学（比治山大学）,広島県広島市東区牛田新町4丁目1-1,
2026/02/01,広島県,大学,大阪医科薬科大学,薬学:一般入試A,広島会場（エールエールA館 6階 ROOM2）,広島県広島市南区松原町9-1,
2026/02/01,広島県,大学,日本大学,N全学統一方式第1期,広島試験場（広島県立広島産業会館西展示館）,広島県広島市南区比治山本町16-31,
2026/02/01,広島県,大学,広島修道大学,一般選抜前期A/B/C（人数制限有）,三原シティホテル,広島県三原市城町2-2-2,
2026/02/01,広島県,大学,広島修道大学,一般選抜前期A/B/C,三次市民ホール きりり,広島県三次市三次町111-1,
2026/02/01,広島県,大学,比治山大学,一般選抜A・B日程,三次（三次グランドホテル）,広島県三次市十日市南1-10-1,
2026/02/01,広島県,大学,福山大学,一般選抜 前期A/B・後期,本学キャンパス,広島県福山市学園町1番地三蔵,
2026/02/01,広島県,大学,福山平成大学,一般選抜A・B・後期,福山（社会連携推進センター）,広島県福山市丸之内1丁目2-40,
2026/02/01,広島県,大学,福山大学,一般選抜 前期A/B・後期,社会連携推進センター（福山）,広島県福山市丸之内1丁目2番40号,
2026/02/01,広島県,大学,福山平成大学,一般選抜A・B・後期,福山平成大学（本学キャンパス）,広島県福山市御幸町上岩成正戸117-1,
2026/02/01,広島県,大学,広島修道大学,一般選抜前期A/B/C,広島県立ふくやま産業交流館（ビッグ・ローズ）,広島県福山市御幸町上岩成正戸476-5,
2026/02/01,広島県,大学,山陽学園大学,一般Ⅰ期・公募制Ⅰ期,福山ちゅうぎんビル,広島県福山市紅葉町1-1,
2026/02/01,広島県,大学,姫路大学,一般選抜A日程,福山会場,広島県福山市住吉町1-40,
2026/02/01,広島県,大学,広島文教大学,一般前期S/A、総合型・推薦前期,福山商工会議所,広島県福山市西町2-10-1,
2026/02/01,広島県,大学,広島工業大学,一般選抜A日程,福山会場（備後地域地場産業振興センター）,広島県福山市東深津町3-2-13,
2026/02/01,広島県,大学,比治山大学,一般選抜A日程,福山（穴吹ビジネス専門学校）,広島県福山市東町2-3-6,
2026/02/01,広島県,大学,中部大学,前期A/B・共通テ+,RCC文化センター,広島市中区橋本町5-11,
2026/02/01,広島県,大学,名城大学,一般選抜 地区別会場,RCC文化センター,広島市中区橋本町5-11,
2026/02/01,広島県,大学,福山大学,一般選抜 前期A/B・後期,広島会場（広島YMCA国際文化センター）,広島市中区八丁堀7-11,
2026/02/01,広島県,大学,拓殖大学,全学部統一全国選抜,広島会場　広島グランドインテリジェントホテル,広島市南区京橋町1-4,
